<;-------;#1;25.00;kg;25.15;>o<;24.90;=;25.50;0;0/1;104451;20190820;>
<;-------;#2;25.00;kg;25.26;>o<;24.90;=;25.50;0;0/1;104508;20190820;>
<;-------;#1;25.00;kg;25.07;>o<;24.90;=;25.50;1;0/1;104655;20190820;>
<;-------;#2;25.00;kg;24.99;>o<;24.90;=;25.50;0;0/1;104704;20190820;>
<;-------;#1;25.00;kg;25.17;>o<;24.90;=;25.50;2;0/1;105110;20190820;>
<;-------;#1;25.00;kg;25.26;>o<;24.90;=;25.50;3;0/1;105352;20190820;>
<;-------;#1;25.00;kg;24.96;>o<;24.90;=;25.50;4;0/1;105543;20190820;>
<;-------;#1;25.00;kg;25.08;>o<;24.90;=;25.50;5;0/1;105826;20190820;>
<;-------;#1;25.00;kg;25.35;>o<;24.90;=;25.50;6;0/1;110412;20190820;>
<;-------;#1;25.00;kg;25.25;>o<;24.90;=;25.50;6;0/1;111045;20190820;>
<;-------;#1;25.00;kg;25.19;>o<;24.90;=;25.50;7;0/1;111130;20190820;>
<;-------;#1;25.00;kg;24.95;>o<;24.90;=;25.50;7;0/1;111708;20190820;>
<;-------;#1;25.00;kg;21.29;>o<;24.90;-;25.50;7;0/1;111923;20190820;>
<;-------;#1;25.00;kg;25.28;>o<;24.90;=;25.50;7;0/1;111954;20190820;>
<;-------;#1;25.00;kg;24.68;>o<;24.00;=;25.50;7;0/1;112237;20190820;>
<;-------;#1;25.00;kg;25.15;>o<;24.00;=;25.50;8;0/1;112355;20190820;>
<;-------;#1;25.00;kg;24.09;>o<;24.00;=;25.50;8;0/1;112453;20190820;>
<;-------;#1;25.00;kg;24.44;>o<;24.00;=;25.50;8;0/1;114225;20190820;>
<;-------;#1;25.00;kg;24.67;>o<;24.00;=;25.50;9;0/1;114420;20190820;>
<;-------;#1;25.00;kg;25.30;>o<;24.00;=;25.50;10;0/1;114559;20190820;>
<;-------;#1;25.00;kg;25.02;>o<;24.00;=;25.50;11;0/1;114845;20190820;>
<;-------;#1;25.00;kg;24.89;>o<;24.00;=;25.50;12;0/1;115204;20190820;>
<;-------;#1;25.00;kg;24.52;>o<;24.00;=;25.50;13;0/1;115238;20190820;>
<;-------;#1;25.00;kg;25.30;>o<;24.00;=;25.50;14;0/1;115431;20190820;>
<;-------;#1;25.00;kg;25.42;>o<;24.00;=;25.50;15;0/1;115520;20190820;>
<;-------;#1;25.00;kg;24.45;>o<;24.00;=;25.50;15;0/1;115725;20190820;>
<;-------;#1;25.00;kg;25.16;>o<;24.00;=;25.50;16;0/1;115845;20190820;>
<;-------;#1;25.00;kg;24.36;>o<;24.00;=;25.50;17;0/1;120034;20190820;>
<;-------;#2;25.00;kg;24.71;>o<;24.00;=;25.50;1;0/1;120120;20190820;>
<;-------;#2;25.00;kg;24.76;>o<;24.00;=;25.50;2;0/1;120227;20190820;>
<;-------;#2;25.00;kg;25.28;>o<;24.00;=;25.50;0;0/1;134228;20190820;>
<;-------;#1;25.00;kg;25.03;>o<;24.00;=;25.50;0;0/1;134321;20190820;>
<;-------;#1;25.00;kg;24.68;>o<;24.00;=;25.50;1;0/1;134420;20190820;>
<;-------;#2;25.00;kg;25.09;>o<;24.00;=;25.50;1;0/1;134501;20190820;>
<;-------;#2;25.00;kg;24.52;>o<;24.00;=;25.50;2;0/1;134653;20190820;>
<;-------;#2;25.00;kg;24.33;>o<;24.00;=;25.50;3;0/1;134902;20190820;>
<;-------;#2;25.00;kg;25.53;>o<;24.00;+;25.50;4;0/1;134955;20190820;>
<;-------;#2;25.00;kg;25.03;>o<;24.00;=;25.50;4;0/1;135020;20190820;>
<;-------;#2;25.00;kg;25.15;>o<;24.00;=;25.50;4;0/1;135149;20190820;>
