"MPdb-No";"MPdb-Name";"MPdb-SampleFreq";"MPdb-SampleSize";"MPdb-CutoffCorr";"MPdb-DFWeightCorr";"MPdb-StabTimeLimit";"MPdb-SlowCycleTime";"MPdb-DischDoorMaxTime";"MPdb-FlexCounter";"MPdb-CatchGateMaxTime";"MPdb-OutOfTolTime";"MPdb-BagDetectionTime";"MPdb-ZeroFreq";"MPdb-CorrOnAverage";"MPdb-CutoffCorrLimit";"MPdb-ZeroLimit";"MPdb-AutoZeroOff";"MPdb-SlowFilterSize";"MPdb-FastFilterSize";"MPdb-FlexSP1";"MPdb-FlexSP2";"MPdb-FlexT1";"MPdb-FlexT2";"MPdb-FlashFilterSize";"MPdb-ScreenSaverTime";"MPdb-StdFilterSize";"MPdb-SmartStabWindow"
         1;"Active";        10;         1;  0.00;0.0; 5.00;60.00; 0.00;     0; 0.00;   0.00; 0.00;         1;0;         0;1.9;0;        11;         7;  0.00;  0.00; 0.00; 0.00;         3;         0;        11;0.5
         2;"Default";         0;         0;  0.00;0.0; 0.00; 0.00; 0.00;     0; 0.00;   0.00; 0.00;         0;0;         0;0.0;0;         0;         0;  0.00;  0.00; 0.00; 0.00;         0;         0;         0;0.0
