<;;25.00;kg;0.00;>o<;25.00;-;25.25;1;090704;>20201104;>
<;;25.00;kg;0.00;>o<;25.00;-;25.25;2;090928;>20201104;>
<;;25.00;kg;-0.02;>o<;25.00;-;25.25;3;091101;>20201104;>
<;;25.00;kg;24.44;>o<;25.00;-;25.25;4;092015;>20201104;>
<;;25.00;kg;26.13;>o<;25.00;+;25.25;5;092236;>20201104;>
<;;25.00;kg;25.63;>o<;24.00;=;26.00;6;092526;>20201104;>
<;;25.00;kg;26.18;>o<;24.00;+;26.00;1;113733;>20201104;>
<;;25.00;kg;24.78;>o<;24.00;=;26.00;2;113844;>20201104;>
<;;25.00;kg;24.01;>o<;24.00;=;26.00;3;114003;>20201104;>
<;;25.00;kg;0.00;>o<;24.00;-;26.00;4;114033;>20201104;>
<;;25.00;kg;24.38;>o<;24.00;=;26.00;5;114102;>20201104;>
<;;25.00;kg;24.65;>o<;24.00;=;26.00;6;114118;>20201104;>
<;;25.00;kg;25.27;>o<;24.00;=;26.00;7;114231;>20201104;>
<;;25.00;kg;25.24;>o<;24.00;=;26.00;8;114304;>20201104;>
<;;25.00;kg;25.81;>o<;24.00;=;26.00;9;114421;>20201104;>
<;;25.00;kg;25.43;>o<;24.00;=;26.00;10;114535;>20201104;>
<;;25.00;kg;25.44;>o<;24.00;=;26.00;11;114733;>20201104;>
<;;25.00;kg;25.38;>o<;24.00;=;26.00;12;114932;>20201104;>
<;;25.00;kg;25.80;>o<;24.00;=;26.00;13;115056;>20201104;>
<;;25.00;kg;25.19;>o<;24.00;=;26.00;14;115241;>20201104;>
<;;25.00;kg;0.06;>o<;24.00;-;26.00;15;115328;>20201104;>
<;;25.00;kg;25.40;>o<;24.00;=;26.00;16;115410;>20201104;>
<;;25.00;kg;25.08;>o<;24.00;=;26.00;17;115459;>20201104;>
<;;25.00;kg;24.82;>o<;24.00;=;26.00;18;125838;>20201104;>
