18	Free 18	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
19	Free 19	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
20	Free 20	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
21	Free 21	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
22	Free 22	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
23	Free 23	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
24	Free 24	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
25	Free 25	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
26	Free 26	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
27	Free 27	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
28	Free 28	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
29	Free 29	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
30	Free 30	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		kg	0.00	0.00	0.00	0.00	0	0	0.00	0	0.00	0.00	
