<;-------;25.00;kg;0.00;24.98;-R;24.98;1;155717;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;2;155721;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;3;155724;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;4;155727;20200519;>
<;-------;25.00;kg;0.00;25.02;+R;25.02;5;155730;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;6;155733;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;7;155736;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;8;155739;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;9;155742;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;10;155745;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;11;155748;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;12;155751;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;13;155754;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;14;155757;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;15;155801;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;16;155804;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;17;155807;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;18;155810;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;19;155813;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;20;155816;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;21;155819;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;22;155822;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;23;155825;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;24;155828;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;25;155831;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;26;155835;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;27;155838;20200519;>
<;-------;25.00;kg;0.00;25.00;==;25.00;28;155841;20200519;>
