1	Active	1.00	1.50	0.10	0.50	10	0	1	1	0	1	English	7	French	16	Spanish	0	0	0	0.00	0	0.0.0.0	1		Line 1			-------	-------	-------	-------	-------	-------		0		0.00
2	Default	0.00	0.00	0.00	0.00	10	0	0	0	0	1	English	0	-------	0	-------	0	0	0	0.00	0	0.0.0.0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------		0		0.00
