<;19600873;10.00;kg;9.85;>o<;9.00;=;11.00;26;154019;>
<;19600873;10.00;kg;9.97;>o<;9.00;=;11.00;27;154111;>
<;19600873;10.00;kg;10.42;>o<;9.00;=;11.00;28;154136;>
<;19600873;10.00;kg;10.18;>o<;9.00;=;11.00;29;154203;>
<;19600873;10.00;kg;10.16;>o<;9.00;=;11.00;30;154226;>
<;19600873;10.00;kg;10.17;>o<;9.00;=;11.00;31;154256;>
<;19600873;10.00;kg;0.00;>o<;9.00;-;11.00;32;154320;>
<;19600873;10.00;kg;9.67;>o<;9.00;=;11.00;33;154339;>
<;19600873;10.00;kg;9.86;>o<;9.00;=;11.00;34;154415;>
<;19600873;10.00;kg;0.00;>o<;9.00;-;11.00;35;154443;>
<;19600873;10.00;kg;10.06;>o<;9.00;=;11.00;36;154502;>
<;19600873;10.00;kg;9.69;>o<;9.00;=;11.00;37;154525;>
