"MPdb-No";"MPdb-Name";"MPdb-SampleFreq";"MPdb-SampleSize";"MPdb-CutoffCorr";"MPdb-DFWeightCorr";"MPdb-StabTimeLimit";"MPdb-SlowCycleTime";"MPdb-FlexCounter";"MPdb-CatchGateMaxTime";"MPdb-OutOfTolTime";"MPdb-BagDetectionTime";"MPdb-ZeroFreq";"MPdb-CorrOnAverage";"MPdb-CutoffCorrLimit";"MPdb-ZeroLimit";"MPdb-AutoZeroOff";"MPdb-SlowFilterSize";"MPdb-FastFilterSize";"MPdb-FlexSP1";"MPdb-FlexSP2";"MPdb-FlexT1";"MPdb-FlexT2";"MPdb-FlashFilterSize";"MPdb-ScreenSaverTime";"MPdb-StdFilterSize";"MPdb-SmartStabWindow";"MPdb-LockingDeviceTime"
         1;"Active";        10;         3;  1.50;1.5;10.00;40.00;     0; 0.00;   0.00; 3.00;         1;0;        50;1.9;0;        11;         7;  0.00;  0.00; 0.00; 0.00;         0;         0;        11;2.0;0.00
         2;"Default";         0;         0;  0.00;0.0; 0.00; 0.00;     0; 0.00;   0.00; 0.00;         0;0;         0;0.0;0;         0;         0;  0.00;  0.00; 0.00; 0.00;         0;         0;         0;0.0;0.00
