"WPdb-No";"WPdb-Name";"WPdb-NominalWeight";"WPdb-Overfill1";"WPdb-Overfill2";"WPdb-Cutoff1";"WPdb-Cutoff2";"WPdb-BulkCutoff1";"WPdb-BulkCutoff2";"WPdb-DFTime";"WPdb-CatchGateDelay";"WPdb-UnderWeight";"WPdb-OverWeight";"WPdb-DischargeWeight";"WPdb-DischargeTime";"WPdb-FallingTime";"WPdb-MinFeeding1";"WPdb-MinFeeding2";"WPdb-MaxFeeding1";"WPdb-MaxFeeding2";"WPdb-StreamRegConfig";"WPdb-ActuatorPos1";"WPdb-ActuatorPos2";"WPdb-WeighmentsPerUnit";"WPdb-FeedDelayTime";"WPdb-VibratoryDischDoors";"WPdb-ZeroingOpen";"WPdb-SlowCycleEnd";"WPdb-EnabledScale";"WPdb-TopUpOFFTime";"WPdb-TopUpONTime";"WPdb-KnockningTime";"WPdb-BagInflationTime";"WPdb-FeedAlgoType";"WPdb-Unit";"WPdb-FlexSP1";"WPdb-FlexSP2";"WPdb-FlexT1";"WPdb-FlexT2";"WPdb-CountAll";"WPdb-ProdUnderWeightCnt[0]";"WPdb-ProdUnderWeightCnt[1]";"WPdb-ProdOverWeightCnt[0]";"WPdb-ProdOverWeightCnt[1]";"WPdb-ProdTotalUnitsCnt[0]";"WPdb-ProdTotalUnitsCnt[1]";"WPdb-ProdTotalWeight_1";"WPdb-ProdTotalWeight_2";"WPdb-SlowFillFactor";"WPdb-CPSmFastAvgPoints1[0]";"WPdb-CPSmFastAvgPoints1[1]";"WPdb-CPSmSlowAvgPoints1[0]";"WPdb-CPSmSlowAvgPoints1[1]";"WPdb-CPSmSlowItpPoints1[0]";"WPdb-CPSmSlowItpPoints1[1]";"WPdb-CPSmSlowItpPoints1[2]";"WPdb-CPSmSlowItpPoints1[3]";"WPdb-CPSmSlowItpPoints1[4]";"WPdb-CPSmSlowItpPoints1[5]";"WPdb-CPSmSlowItpPoints1[6]";"WPdb-CPSmSlowItpPoints1[7]";"WPdb-CPSmSwitchTime1";"WPdb-CPFlFastPoints1[0]";"WPdb-CPFlFastPoints1[1]";"WPdb-CPFlDeviationPoints1[0]";"WPdb-CPFlDeviationPoints1[1]";"WPdb-CPFlDeviationPoints1[2]";"WPdb-CPFlDeviationPoints1[3]";"WPdb-CPSmFastAvgPoints2[0]";"WPdb-CPSmFastAvgPoints2[1]";"WPdb-CPSmSlowAvgPoints2[0]";"WPdb-CPSmSlowAvgPoints2[1]";"WPdb-CPSmSlowItpPoints2[0]";"WPdb-CPSmSlowItpPoints2[1]";"WPdb-CPSmSlowItpPoints2[2]";"WPdb-CPSmSlowItpPoints2[3]";"WPdb-CPSmSlowItpPoints2[4]";"WPdb-CPSmSlowItpPoints2[5]";"WPdb-CPSmSlowItpPoints2[6]";"WPdb-CPSmSlowItpPoints2[7]";"WPdb-CPSmSwitchTime2";"WPdb-CPFlFastPoints2[0]";"WPdb-CPFlFastPoints2[1]";"WPdb-CPFlDeviationPoints2[0]";"WPdb-CPFlDeviationPoints2[1]";"WPdb-CPFlDeviationPoints2[2]";"WPdb-CPFlDeviationPoints2[3]";"WPdb-KickerCenterTime";"WPdb-KickerActivateTime";"WPdb-TuneiQFeed";"WPdb-FlexCounter";"WPdb-BFTime1";"WPdb-BFTime2";"WPdb-BulkMode";"WPdb-VibrationAmplitude";"WPdb-VibrationPeriod"
        11;"Free 11";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        12;"Free 12";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        13;"Free 13";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        14;"Free 14";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        15;"Free 15";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        16;"Free 16";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        17;"Free 17";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        18;"Free 18";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        19;"Free 19";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
        20;"Free 20";  0.00;  0.00;  0.00;  0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00; 0.00; 0.00;  0.00;  0.00;  0.00;  0.00;         0;  0.00;  0.00;    0; 0.00;0;0;         0;         0; 0.00; 0.00; 0.00; 0.00;         0;"kg";  0.00;  0.00; 0.00; 0.00;0;         0;         0;         0;         0;         0;         0;        0.0000000000;        0.0000000000;         0;"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";      0.0000;"";"";"";"";"";"";0.00;0.00;0;     0; 0.00; 0.00;0;0.00;0.00
