<;;25.00;kg;25.77;>o<;24.00;=;26.00;40;081253;>20210205;>
<;;25.00;kg;25.09;>o<;24.00;=;26.00;41;082820;>20210205;>
<;;25.00;kg;25.15;>o<;24.00;=;26.00;42;082903;>20210205;>
<;;25.00;kg;25.34;>o<;24.00;=;26.00;43;082949;>20210205;>
<;;25.00;kg;25.46;>o<;24.00;=;26.00;44;083038;>20210205;>
<;;25.00;kg;25.15;>o<;24.00;=;26.00;45;083337;>20210205;>
<;;25.00;kg;25.15;>o<;24.00;=;26.00;46;083652;>20210205;>
<;;25.00;kg;25.06;>o<;24.00;=;26.00;47;083910;>20210205;>
<;;25.00;kg;25.09;>o<;24.00;=;26.00;48;084021;>20210205;>
<;;25.00;kg;-0.31;>o<;24.00;-;26.00;49;084146;>20210205;>
<;;25.00;kg;0.00;>o<;24.00;-;26.00;50;084153;>20210205;>
<;;25.00;kg;24.85;>o<;24.00;=;26.00;51;084238;>20210205;>
