<6> 04.11.2020 09:24:43 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 04.11.2020 11:15:53 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 04.11.2020 11:15:53 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 04.11.2020 11:17:40 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 04.11.2020 11:17:52 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 05.11.2020 08:24:45 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 13:45:34 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 14:44:45 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 18.11.2020 14:44:46 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 15:18:28 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 15:23:15 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 18.11.2020 15:23:16 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 15:31:42 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 16:23:13 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 16:23:13 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 16:32:12 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 16:32:12 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 16:40:57 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 16:40:57 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 17:03:16 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 17:03:16 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 17:14:50 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 17:14:50 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 18.11.2020 17:20:31 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.11.2020 17:20:31 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 19.11.2020 07:46:59 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 19.11.2020 07:58:16 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 19.11.2020 07:59:22 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 19.11.2020 07:59:23 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 19.11.2020 10:42:08 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
