1	Active	120	2	0.00	0.0	10.00	30.00	0.00	0	0.00	0.00	1.00	1	0	5	4.0	0	11	7	0.00	0.00	0.00	0.00	0.60	3	99	11	0.5
2	Default	0	0	0.00	0.0	0.00	0.00	0.00	0	0.00	0.00	0.00	0	0	0	0.0	0	0	0	0.00	0.00	0.00	0.00	0.00	0	0	0	0.0
