1	Active	1.00	0.70	0.00	0.00	10	0	1	1	0	1	English	7	French	16	Spanish	0	0	0	0.00	0	192.168.25.66	0	1	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	Net weigher V2.2.2	0		0
2	Default	0.00	0.00	0.00	0.00	10	0	0	0	0	1	English	0	-------	0	-------	0	0	0	0.00	0	0	0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------		0		0
