1	Active	10	10	0.00	0.0	0.00	10.00	0.00	3	0.00	0.00	0.00	1	0	0	0.0	0	11	7	0.00	0.00	0.00	0.00	3	0	11	1.7	
2	Default	10	10	20.00	0.1	3.00	10.00	3.00	20	5.00	0.00	10.00	1	0	10	1.9	0	11	7	0.00	0.00	0.00	0.00	3	0	0	1.4	
