<; 19601840/1;10.00;kg;9.98;>o<;0.00;kg/h;9.98;1;145358;20201101;>
<; 19601840/1;10.00;kg;9.69;>o<;0.00;kg/h;19.67;2;145448;20201101;>
<; 19601840/1;15.00;kg;19.41;>o<;0.00;kg/h;39.08;3;151622;20201101;>
<; 19601840/1;15.00;kg;15.81;>o<;0.00;kg/h;15.81;1;153828;20201101;>
<; 19601840/1;15.00;kg;14.81;>o<;1348.34;kg/h;30.62;2;153845;20201101;>
<; 19601840/1;15.00;kg;14.78;>o<;2704.67;kg/h;45.40;3;153901;20201101;>
<; 19601840/1;15.00;kg;14.69;>o<;3157.79;kg/h;60.09;4;153925;20201101;>
<; 19601840/1;15.00;kg;16.11;>o<;2359.63;kg/h;76.20;5;153944;20201101;>
<; 19601840/1;15.00;kg;15.41;>o<;2763.49;kg/h;91.61;6;154048;20201101;>
<; 19601840/1;15.00;kg;17.50;>o<;0.00;kg/h;17.50;1;154332;20201101;>
<; 19601840/1;15.00;kg;15.25;>o<;858.15;kg/h;32.75;2;154402;20201101;>
<; 19601840/1;15.00;kg;14.89;>o<;1583.29;kg/h;47.64;3;154420;20201101;>
<; 19601840/1;15.00;kg;15.47;>o<;2578.96;kg/h;63.11;4;154439;20201101;>
<; 19601840/1;15.00;kg;15.18;>o<;2814.00;kg/h;78.29;5;154514;20201101;>
<; 19601840/1;15.00;kg;15.17;>o<;0.00;kg/h;93.46;6;161102;20201101;>
<; 19601840/1;15.00;kg;15.83;>o<;3401.47;kg/h;109.29;7;161117;20201101;>
<; 19601840/1;15.00;kg;15.72;>o<;3460.46;kg/h;125.01;8;161137;20201101;>
<; 19601840/1;15.00;kg;15.24;>o<;2456.44;kg/h;140.25;9;161205;20201101;>
<; 19601840/1;10.86;kg;10.75;>o<;0.00;kg/h;151.00;10;161647;20201101;>
<; 19601840/1;10.96;kg;12.23;>o<;561.98;kg/h;163.23;11;161742;20201101;>
<; 19601840/1;15.00;kg;15.27;>o<;0.60;kg/h;178.50;12;161858;20201101;>
<; 19601840/1;15.00;kg;20.28;>o<;0.00;kg/h;198.78;13;164529;20201101;>
<; 19601840/1;15.00;kg;20.50;>o<;1435.13;kg/h;219.28;14;164611;20201101;>
<; 19601840/1;15.00;kg;20.15;>o<;1587.47;kg/h;239.43;15;164708;20201101;>
<; 19601840/1;15.00;kg;12.10;>o<;1277.98;kg/h;251.53;16;164818;20201101;>
<; 19601840/1;13.49;kg;13.23;>o<;620.08;kg/h;264.76;17;164947;20201101;>
<; 19601840/1;13.49;kg;13.42;>o<;691.58;kg/h;278.18;18;165013;20201101;>
<; 19601840/1;22.00;kg;15.67;>o<;6.13;kg/h;15.67;1;165135;20201101;>
<; 19601840/1;25.00;kg;26.19;>o<;0.00;kg/h;26.19;1;165335;20201101;>
<; 19601840/1;25.00;kg;25.18;>o<;3595.57;kg/h;51.37;2;165355;20201101;>
<; 19601840/1;24.32;kg;25.58;>o<;2088.95;kg/h;76.95;3;165530;20201101;>
<; 19601840/1;25.00;kg;25.69;>o<;0.00;kg/h;25.69;1;165703;20201101;>
<; 19601840/1;10.00;kg;24.66;>o<;3160.70;kg/h;50.35;2;165739;20201101;>
<; 19601840/1;10.00;kg;10.24;>o<;2633.41;kg/h;60.59;3;165758;20201101;>
<; 19601840/1;10.00;kg;10.18;>o<;2208.44;kg/h;70.77;4;165812;20201101;>
<; 19601840/1;10.00;kg;9.77;>o<;2496.77;kg/h;80.54;5;165827;20201101;>
<; 19601840/1;9.64;kg;9.82;>o<;882.00;kg/h;90.36;6;165951;20201101;>
<; 19601840/1;9.64;kg;10.95;>o<;514.32;kg/h;101.31;7;170031;20201101;>
<; 19601840/1;15.00;kg;24.89;>o<;0.07;kg/h;126.20;8;170230;20201101;>
<; 19601840/1;15.00;kg;15.03;>o<;1391.53;kg/h;141.23;9;170259;20201101;>
<; 19601840/1;20.00;kg;20.25;>o<;1814.34;kg/h;161.48;10;170331;20201101;>
<; 19601840/1;19.54;kg;20.29;>o<;749.21;kg/h;181.77;11;170551;20201101;>
<; 19601840/1;19.54;kg;19.67;>o<;855.57;kg/h;201.44;12;170609;20201101;>
<; 19601840/1;20.00;kg;19.77;>o<;133.75;kg/h;19.77;1;170703;20201101;>
