1	Active	1.00	1.00	0.00	0.00	100	0	1	1	0	1	English	17	Thai	2	Arabic	1	3	0	0.00	2	0	0	0	000 000 001	Line 1	PT	-------	-------	-------	-------	-------	-------	-------	
2	Default	0.00	0.00	0.00	0.00	10	0	0	0	0	1	English	0	-------	0	-------	0	0	0	0.00	0	0	0	0	-------	-------	-------	-------	-------	-------	-------	-------	-------	-------	
