1	Active	10	3	1.50	1.5	10.00	40.00	0	0.00	0.00	3.00	1	0	50	1.9	0	11	7	0.00	0.00	0.00	0.00	0	0	11	2.0	0.00	
2	Default	0	0	0.00	0.0	0.00	0.00	0	0.00	0.00	0.00	0	0	0	0.0	0	0	0	0.00	0.00	0.00	0.00	0	0	0	0.0	0.00	
