<6> 15.01.2018 10:52:56 Section=GENERAL, Key=LANGUAGE, Value=17, data=SPGENERAL.LANGUAGE=17
<6> 15.01.2018 10:53:51 Section=GENERAL, Key=LANGUAGE, Value=16, data=SPGENERAL.LANGUAGE=16
<6> 15.01.2018 10:53:52 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 15.01.2018 16:21:59 Section=GENERAL, Key=LANGUAGE, Value=11, data=SPGENERAL.LANGUAGE=11
<6> 18.01.2018 15:45:21 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.01.2018 15:45:21 Section=GENERAL, Key=LANGUAGE, Value=11, data=SPGENERAL.LANGUAGE=11
<6> 18.01.2018 15:48:21 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.01.2018 15:48:21 Section=GENERAL, Key=LANGUAGE, Value=11, data=SPGENERAL.LANGUAGE=11
<6> 18.01.2018 15:48:59 Section=GENERAL, Key=LANGUAGE, Value=16, data=SPGENERAL.LANGUAGE=16
<6> 18.01.2018 15:48:59 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 05.02.2018 16:54:29 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 12.02.2018 11:09:34 Section=GENERAL, Key=LANGUAGE, Value=13, data=SPGENERAL.LANGUAGE=13
<6> 12.02.2018 11:11:11 Section=GENERAL, Key=LANGUAGE, Value=16, data=SPGENERAL.LANGUAGE=16
<6> 12.02.2018 11:12:01 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 13.02.2018 11:59:40 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 13.02.2018 15:43:23 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 16.02.2018 13:05:57 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 16.02.2018 13:05:59 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 16.02.2018 13:06:00 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 16.02.2018 13:07:14 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 16.02.2018 13:07:14 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 16.02.2018 13:09:01 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 16.02.2018 13:09:03 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 09.03.2018 14:27:11 Section=GENERAL, Key=LANGUAGE, Value=4, data=SPGENERAL.LANGUAGE=4
<6> 09.03.2018 14:27:12 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 09.03.2018 14:32:38 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 22.03.2018 18:52:02 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 22.03.2018 18:52:17 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 23.03.2018 10:52:59 Section=GENERAL, Key=LANGUAGE, Value=17, data=SPGENERAL.LANGUAGE=17
<6> 23.03.2018 10:54:29 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 23.03.2018 10:54:30 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 05.04.2018 12:03:58 Section=GENERAL, Key=LANGUAGE, Value=17, data=SPGENERAL.LANGUAGE=17
<6> 05.04.2018 12:03:59 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 05.04.2018 15:23:55 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.06.2018 14:14:38 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.06.2018 14:14:38 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 06.06.2018 14:15:02 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.06.2018 14:17:39 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.06.2018 14:38:57 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 06.06.2018 15:03:21 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 03.07.2018 11:41:02 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 03.07.2018 11:41:06 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 03.07.2018 11:41:07 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 03.07.2018 11:41:08 Section=GENERAL, Key=LANGUAGE, Value=7, data=SPGENERAL.LANGUAGE=7
<6> 03.07.2018 12:16:00 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 18.07.2018 10:57:20 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 30.08.2018 16:33:26 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 30.08.2018 16:33:39 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 30.08.2018 16:34:58 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 30.08.2018 16:34:59 Section=GENERAL, Key=LANGUAGE, Value=6, data=SPGENERAL.LANGUAGE=6
<6> 30.08.2018 16:35:00 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 30.08.2018 16:35:00 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 07.09.2018 11:33:57 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 03.12.2018 12:29:06 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 14.01.2019 09:35:20 Section=GENERAL, Key=LANGUAGE, Value=4, data=SPGENERAL.LANGUAGE=4
<6> 14.01.2019 09:35:21 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
<6> 14.01.2019 09:49:51 Section=GENERAL, Key=LANGUAGE, Value=0, data=SPGENERAL.LANGUAGE=0
<6> 14.01.2019 09:50:36 Section=GENERAL, Key=LANGUAGE, Value=4, data=SPGENERAL.LANGUAGE=4
<6> 14.01.2019 09:50:36 Section=GENERAL, Key=LANGUAGE, Value=15, data=SPGENERAL.LANGUAGE=15
